作业动作编码,作业动作名称,作业动作工艺参数要求,作业工作工艺参数单位,备注
ID0000,压接,根据指定压接挡位对剥线好的线压入指定连接器,挡位,
ID0001,喷胶,对指定缝隙喷多少胶,ml,
ID0002,拧紧,根据指定扭力进行拧紧,N,
ID0003,压接,根据指定压接挡位对剥线好的线压入指定连接器,挡位,
ID0004,喷胶,对指定缝隙喷多少胶,ml,
ID0005,拧紧,根据指定扭力进行拧紧,N,
ID0006,压接,根据指定压接挡位对剥线好的线压入指定连接器,挡位,
ID0007,喷胶,对指定缝隙喷多少胶,ml,
ID0008,拧紧,根据指定扭力进行拧紧,N,
ID0009,压接,根据指定压接挡位对剥线好的线压入指定连接器,挡位,
ID0010,喷胶,对指定缝隙喷多少胶,ml,
ID0011,拧紧,根据指定扭力进行拧紧,N,
ID0012,压接,根据指定压接挡位对剥线好的线压入指定连接器,挡位,
ID0013,喷胶,对指定缝隙喷多少胶,ml,
ID0014,拧紧,根据指定扭力进行拧紧,N,
ID0015,压接,根据指定压接挡位对剥线好的线压入指定连接器,挡位,
ID0016,喷胶,对指定缝隙喷多少胶,ml,
ID0017,拧紧,根据指定扭力进行拧紧,N,
ID0018,压接,根据指定压接挡位对剥线好的线压入指定连接器,挡位,
ID0019,喷胶,对指定缝隙喷多少胶,ml,
ID0020,拧紧,根据指定扭力进行拧紧,N,
ID0021,压接,根据指定压接挡位对剥线好的线压入指定连接器,挡位,
ID0022,喷胶,对指定缝隙喷多少胶,ml,
ID0023,拧紧,根据指定扭力进行拧紧,N,
ID0024,压接,根据指定压接挡位对剥线好的线压入指定连接器,挡位,
ID0025,喷胶,对指定缝隙喷多少胶,ml,
ID0026,拧紧,根据指定扭力进行拧紧,N,
ID0027,压接,根据指定压接挡位对剥线好的线压入指定连接器,挡位,
ID0028,喷胶,对指定缝隙喷多少胶,ml,
ID0029,拧紧,根据指定扭力进行拧紧,N,
ID0030,压接,根据指定压接挡位对剥线好的线压入指定连接器,挡位,
ID0031,喷胶,对指定缝隙喷多少胶,ml,
ID0032,拧紧,根据指定扭力进行拧紧,N,
